EXCEL SATIR 113 HATA | BACKTRACK | 10.06.2026 | Açılan sayfa video değil: https://www.tjk.org/TR/yarissever/Query/ConnectedPage/AtKosuBilgileri?QueryParameter_SehirId=-1&QueryParameter_PistKodu=-1&QueryParameter_MesafeStart=-1&QueryParameter_MesafeEnd=-1&Sort=VideoYol&OldQueryParameter_AtId=112968 | NORMAL_CLICK | HEDEF_SATIR_OK_ZAYIF_TEK_ADAY puan=10 neden=LINK_VIDEO_SINYAL txt=Tarih Şehir Msf Pist S Derece Sıklet Takı Jokey St Gny Grup K. No-K. Adı Kcins Ant. Sahip HP Ikramiye S20
EXCEL SATIR 114 HATA | BACKTRACK | 24.05.2026 | Açılan sayfa video değil: https://www.tjk.org/TR/yarissever/Query/ConnectedPage/AtKosuBilgileri?QueryParameter_SehirId=-1&QueryParameter_PistKodu=-1&QueryParameter_MesafeStart=-1&QueryParameter_MesafeEnd=-1&Sort=VideoYol&OldQueryParameter_AtId=112968 | NORMAL_CLICK | HEDEF_SATIR_OK_ZAYIF_TEK_ADAY puan=10 neden=LINK_VIDEO_SINYAL txt=Tarih Şehir Msf Pist S Derece Sıklet Takı Jokey St Gny Grup K. No-K. Adı Kcins Ant. Sahip HP Ikramiye S20
EXCEL SATIR 117 OK | MAJESTUOSA | 03.07.2026 | Seyir=1 | FAZ30_LISTE=6-3-5-7-1-2-4-8-13-13
EXCEL SATIR 118 OK | MAJESTUOSA | 18.04.2026 | Seyir=3 | FAZ30_LISTE=4-3-7-2-1-9-8-10-4-13
EXCEL SATIR 119 OK | MAYBACK | 14.06.2026 | Seyir=1 | FAZ30_LISTE=12-2-9-3-5-11-6-1-4
EXCEL SATIR 120 OK | PARADISO DIVINA | 28.06.2026 | Seyir=6 | FAZ30_LISTE=2-3-8-4-5-9-1-7-6-14
EXCEL SATIR 121 OK | SANAE | 30.06.2026 | Seyir=2 | FAZ30_LISTE=8-6-3-2-1-5-14-14-14-14
EXCEL SATIR 122 OK | SANAE | 14.06.2026 | Seyir=9 | FAZ30_LISTE=7-3-9-5-2-11-1-6-10-12
EXCEL SATIR 123 OK | VICTORY XECE | 07.07.2026 | Seyir=2 | FAZ30_LISTE=2-4-5-1-3
EXCEL SATIR 126 OK | ARABIAN NIGHTS | 21.06.2026 | Seyir=5 | FAZ30_LISTE=7-5-2-1-3-10-12-11-9-8
EXCEL SATIR 127 OK | BALBEYİM | 24.06.2026 | Seyir=6 | FAZ30_LISTE=3-4-2-5-1-6-9-9-9-9
EXCEL SATIR 128 OK | BALBEYİM | 12.06.2026 | Seyir=11 | AT_BANTTA_YOK_11_FAZ30_LISTE=5-2-12-11-6-7-1-4-9-10
EXCEL SATIR 129 OK | BALBEYİM | 03.06.2026 | Seyir=7 | FAZ30_LISTE=10-9-1-3-5-11-4-7-2-8
EXCEL SATIR 130 OK | ULUŞİRAN BEYİ | 21.06.2026 | Seyir=4 | FAZ30_LISTE=7-4-5-8-3-9-10-6-1-2
EXCEL SATIR 131 OK | USKUMRU | 07.07.2026 | Seyir=6 | FAZ30_LISTE=1-12-5-10-7-8-4-3-11-9
EXCEL SATIR 132 OK | USKUMRU | 11.05.2026 | Seyir=6 | FAZ30_LISTE=1-10-2-9-8-6-5-4-14-14
EXCEL SATIR 133 OK | ATEŞ KUŞLARI | 05.07.2026 | Seyir=10 | FAZ30_LISTE=2-1-9-7-3-12-5-9-6-4
EXCEL SATIR 134 OK | ATEŞ KUŞLARI | 31.05.2026 | Seyir=4 | FAZ30_LISTE=3-7-4-6-5-8-2-9-10-11
EXCEL SATIR 135 OK | ATEŞ KUŞLARI | 14.04.2026 | Seyir=2 | FAZ30_LISTE=2-4-1-7-5-10-6-14-14-9
EXCEL SATIR 136 OK | NİSAM | 05.07.2026 | Seyir=3 | FAZ30_LISTE=8-5-9-10-2-12-6-9-11-1
EXCEL SATIR 137 OK | NİSAM | 21.06.2026 | Seyir=11 | AT_BANTTA_YOK_11_FAZ30_LISTE=7-4-5-8-3-9-10-6-1-2
EXCEL SATIR 138 OK | NİSAM | 05.06.2026 | Seyir=3 | FAZ30_LISTE=5-9-8-2-3-7-1-6-4-14
EXCEL SATIR 139 OK | NİSAM | 22.05.2026 | Seyir=9 | FAZ30_LISTE=9-4-1-7-14-11-5-9-8-3
EXCEL SATIR 140 OK | KING RÜZGAR | 07.06.2026 | Seyir=7 | FAZ30_LISTE=4-8-1-9-5-3-6-2-13-13
EXCEL SATIR 141 OK | KING RÜZGAR | 29.05.2026 | Seyir=6 | FAZ30_LISTE=6-5-1-7-8-2-4-9-9-9
EXCEL SATIR 142 OK | KING RÜZGAR | 22.03.2026 | Seyir=6 | FAZ30_LISTE=9-4-6-9-8-3-8-8-8-8
EXCEL SATIR 143 OK | KING RÜZGAR | 24.02.2026 | Seyir=3 | FAZ30_LISTE=5-2-3-4-6-1-3-3-3-3
EXCEL SATIR 144 OK | LOWER SPIRIT | 31.05.2026 | Seyir=8 | FAZ30_LISTE=4-6-1-8-5-7-3-2-13-13
EXCEL SATIR 145 OK | LOWER SPIRIT | 03.05.2026 | Seyir=11 | KUTU_BULUNAMADI_11
EXCEL SATIR 146 OK | LOWER SPIRIT | 15.04.2026 | Seyir=1 | FAZ30_LISTE=5-2-8-7-4-6-10-3-1-9
EXCEL SATIR 147 OK | LOWER SPIRIT | 31.01.2026 | Seyir=3 | FAZ30_LISTE=2-1-7-5-9-6-4-8-3-9
EXCEL SATIR 148 OK | MASTERPIECE | 08.05.2026 | Seyir=4 | FAZ30_LISTE=6-2-3-1-4-5-14-14-4-4
EXCEL SATIR 149 OK | MASTERPIECE | 24.04.2026 | Seyir=5 | FAZ30_LISTE=6-1-3-5-2-4-14-11-14-14
EXCEL SATIR 150 OK | MASTERPIECE | 08.04.2026 | Seyir=4 | FAZ30_LISTE=1-7-6-5-4-2-8-3-13-13
EXCEL SATIR 153 OK | WARRIOR LION | 31.05.2026 | Seyir=6 | FAZ30_LISTE=7-1-6-2-5-3-8-10-4-9
EXCEL SATIR 154 OK | WARRIOR LION | 24.05.2026 | Seyir=6 | FAZ30_LISTE=2-7-1-10-11-6-3-4-12-9
EXCEL SATIR 155 OK | HARDOLD | 08.07.2026 | Seyir=9 | FAZ30_LISTE=8-1-2-9-4-3-7-5-6-13
