Elazığ;(22. Yarış Günü);15/07/2026
1. Kosu :   17.45;Maiden/DHÖW/Dişi; 3 Yaşlı Araplar; 57.00kg; 1200m; Kum;;;;Rekor Derece :1.21.14
İkramiye;;;;;Yetiştirici Primi;;;;
1.)395.000 TL;2.)158.000 TL;3.)79.000 TL;4.)39.500 TL;5.)19.750 TL;1.)118.500 TL;2.)47.400 TL;3.)23.700 TL;4.)11.850 TL;5.)5.925 TL;
12;ÇELİ BEZA SK;5y d  a;GÜNGÖR BABA;MAGLADY;55,5 +0.10;Ç.CANPOLAT AP;HÜSEYİN GÜCİN;B.FAHRİOĞLU;3;%1.93(12)  %1.53(12);79;2:39.06;35,20;
13;LADY İSİS KG SK;4y d k;MYBOYCHARLIE (IRE);WHO IS THAT CHICK;60;Y.CENGİZ;MEHMET ALİ BECENE;MEHM.KAYA;13 - DS;%8.06(6)  %8.78(6);80;Derecesiz;13,30;
GANYAN(6) :8,60 TL, 1. 6'LI GANYAN(6/2/12/8,10/8/6) :2.434.407,30 TL, İKİLİ(6/13) :133,65 TL, SIRALI İKİLİ(6/13) :194,15 TL, ÜÇLÜ BAHİS(6/13/1) :4.739,30 TL, PLASE(13) :8,20 TL, PLASE(6) :1,55 TL, PLASE İKİLİ(1/13) :84,00 TL, PLASE İKİLİ(1/6) :20,80 TL, PLASE İKİLİ(6/13) :38,40 TL, SIRALI 5 Lİ BAHİS(6/13/1/2/11) :1.587.498,75 TL, 5. ÇİFTE(8/6) :57,55 TL

7. Kosu :   21.00;Handikap 14/DHÖW /H3; 4 ve Yukarı Araplar; kg; 1200m; Kum;;;;Rekor Derece :1.21.14
İkramiye;;;;;Yetiştirici Primi;;;;
1.)280.000 TL;2.)112.000 TL;3.)56.000 TL;4.)28.000 TL;5.)14.000 TL;1.)50.400 TL;2.)20.160 TL;3.)10.080 TL;4.)5.040 TL;5.)2.520 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;NAZLI BERRA DB SK;4y k k;ALTINCI HİS;DENİZSEFASI;61;İ.AKYAVUZ;MUSTAFA YARDIMCI;EY.YARDIMCI;2;%10.74(3);40;1:28.60;7,20;Yarım Boy
2;ROYALCAN KG DB SK;4y k  a;SERHANTAY;ALANZA;61,5;A.AKDEMİR;MEHMET KARAKEÇİ;Z.AKDEMİR;8;%30.6(1);41;1:28.73;2,40;3,5 Boy
3;EFRUZKIZI KG DB SK;4y k k;TAMERİNOĞLU;BALKUŞU;56 +1.50;M.DOĞAN;AHMET KAYA;M.BULUÇ;1;%2.45(9);30;1:29.43;15,35;Burun
4;ÇETİNYEL KG SK;4y k  a;AYABAKAN;DEMİRKONTES;58;İ.KATAR;ÜMİT AKALTUN;F.BAKIR;5;%4.79(6);34;1:29.44;11,45;10 Boy
5;UĞUR MELEĞİ KG DB SK;4y a k;TAYKUT;HANEDAN;57,5 +1.50;R.DOĞAN;MEHMET KARAKEÇİ;Z.AKDEMİR;11;%1.8(1);33;1:31.46;2,40;
6;ASİL CEMRE KG DB SK;4y a k;BERKSOY;NAKİYE;58;H.ALTUNKILIÇ;METİN ÇALDIRAN;ES.YILDIRIM;6;%0.94(12);34;1:32.79;33,55;
7;ZEYNEPCANKIZI KG K DB;5y a k;ŞİMŞEĞİNOĞLU;ŞİPAL;63;M.A.AKTÜRK;HÜSEYİN BECENE;MEHM.KAYA;3;%7.97(4);42;1:34.22;9,80;
8;KÜHEYLAN BAKÜRA KG DB SK;5y a  a;ATMACA BEYİ;MAHMUDECAN;60,5;A.ÇANKAYA;YÜKSEL ARSLAN;A.AKBABA;4;%1.17(11);37;1:44.18;24,45;
9;BÜYÜK POYRAZ KG SK;4y a  a;AKARÇAY;BRONAS;60;N.ALTIN;KEMAL UÇAK;M.A.SUBAY;15;%21.67(2);38;1:44.82;6,25;
10;KARACA DÜNYA SKG SK;5y a k;ABUŞ;GÜLPERİSİ;61;Y.CENGİZ;YUSUF ZİYA KARAKUŞ;R.BARMAN;7;%3.8(8);38;1:45.65;10,70;
11;ESRA KIZ KG SK;4y a k;GÜNTAY;ŞENOCAK GÜZELİ;60;Y.ÇELİKBAŞ;ALİ ÇELİK;S.KARAKEÇİLİ;16;%5.04(5);38;1:48.25;16,10;
